"","cell_type","gene","avg_logFC","p_val","p_val_adj","de_family","de_method","de_type","diffexpressed","gene_label"
"58","E15","1190007I07Rik",-0.0887413791701873,0.805673961965857,1,"pseudobulk","edgeR","LRT","NO",NA
"59","E15","1190028D05Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"60","E15","1200007C13Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"61","E15","1300002E11Rik",0.643998590014821,0.125930332120671,1,"pseudobulk","edgeR","LRT","NO",NA
"62","E15","1300014J16Rik",-0.709218900407019,0.67249176512527,1,"pseudobulk","edgeR","LRT","NO",NA
"63","E15","1300017J02Rik",-1.94322921498178,0.404548026727575,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"64","E15","1500002C15Rik",-0.597875926817429,0.661881415748093,1,"pseudobulk","edgeR","LRT","NO",NA
"65","E15","1500009C09Rik",-0.358716650278901,0.379889780719867,1,"pseudobulk","edgeR","LRT","NO",NA
"66","E15","1500009L16Rik",-0.597117371294543,0.123855485637047,1,"pseudobulk","edgeR","LRT","NO",NA
"67","E15","1500011B03Rik",0.0407607794422599,0.914491825873937,1,"pseudobulk","edgeR","LRT","NO",NA
"68","E15","1500011K16Rik",0.304798792783899,0.414632871015545,1,"pseudobulk","edgeR","LRT","NO",NA
"69","E15","1500015A07Rik",0.229553977366145,0.602516635784215,1,"pseudobulk","edgeR","LRT","NO",NA
"70","E15","1500015L24Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"71","E15","1500015O10Rik",-1.94650114368488,0.404093985674422,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"72","E15","1500035N22Rik",0.0533088853307191,0.89793737511245,1,"pseudobulk","edgeR","LRT","NO",NA
"73","E15","1520401A03Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"74","E15","1600002K03Rik",-0.142548546099007,0.776419287119173,1,"pseudobulk","edgeR","LRT","NO",NA
"75","E15","1600010M07Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"76","E15","1600012H06Rik",0.408362373604284,0.379767890290642,1,"pseudobulk","edgeR","LRT","NO",NA
"77","E15","1600012P17Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"78","E15","1600014C10Rik",-1.93568934983203,0.0297207399136443,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"79","E15","1600014C23Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"80","E15","1600015I10Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"81","E15","1600019K03Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"82","E15","1600020E01Rik",-0.40064746948556,0.308956946560907,1,"pseudobulk","edgeR","LRT","NO",NA
"83","E15","1600025M17Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"84","E15","1600027J07Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"85","E15","1700001C02Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"86","E15","1700001C19Rik",-1.94322921498178,0.404548026727575,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"87","E15","1700001D01Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"88","E15","1700001F09Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"89","E15","1700001G01Rik",-1.94650114368488,0.404093985674422,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"90","E15","1700001J03Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"91","E15","1700001J04Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"92","E15","1700001K19Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"93","E15","1700001L05Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"94","E15","1700001L19Rik",-3.30679789384604,1.41870404978292e-07,0.000141400459261801,"pseudobulk","edgeR","LRT","Highlit_down",NA
"95","E15","1700001N15Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"96","E15","1700001O22Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"97","E15","1700001P01Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"98","E15","1700003C15Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"99","E15","1700003E16Rik",0.409851672005233,0.741595976295814,1,"pseudobulk","edgeR","LRT","NO",NA
"100","E15","1700003E24Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"101","E15","1700003F12Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"102","E15","1700003G13Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"103","E15","1700003H04Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"104","E15","1700003I16Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"105","E15","1700003I22Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"106","E15","1700003L19Rik",0.373394722935844,0.646440720198689,1,"pseudobulk","edgeR","LRT","NO",NA
"107","E15","1700003M07Rik",-2.74418798239907,0.242393373091107,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
