p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.25296454087105e-179,2.41591231855894,0.217,0.046,4.10646598625077e-175,IN_Cck.Vip,Asic4
4.7079699202997e-178,2.9243638418981,0.116,0.014,1.54299006167902e-173,IN_Cck.Vip,Nr2e1
1.51917667467506e-170,2.59219982892987,0.2,0.042,4.97894963358003e-166,IN_Cck.Vip,Fign
3.41019133957878e-146,2.86187676450845,0.132,0.022,1.11765610963355e-141,IN_Cck.Vip,Ccne1
4.46632594985899e-137,2.52977415105142,0.145,0.027,1.46379366680678e-132,IN_Cck.Vip,St8sia5
1.20818257449876e-135,3.3420606532562,0.148,0.029,3.95969756966224e-131,IN_Cck.Vip,Gpd1
4.70432010625773e-113,2.8848563216897,0.227,0.07,1.54179387162491e-108,IN_Cck.Vip,Cck
6.03792705000858e-112,2.52002402268879,0.137,0.029,1.97887021136981e-107,IN_Cck.Vip,Hopx
2.61582104987808e-103,2.48908501522002,0.101,0.018,8.57309190887043e-99,IN_Cck.Vip,Tmie
3.81319886815338e-85,2.52030264171149,0.297,0.125,1.24973779704859e-80,IN_Cck.Vip,Cxcl14
9.22346058113882e-82,2.70657690056502,0.115,0.027,3.02289697086244e-77,IN_Cck.Vip,Dio3
0,2.2485877301743,0.932,0.386,0,IN_Cck.Neb,Nfix
0,2.87376021752888,0.416,0.07,0,IN_Cck.Neb,Prox1
0,3.26629810291311,0.263,0.034,0,IN_Cck.Neb,Cryab
1.64916686044325e-300,3.16117271765069,0.269,0.042,5.4049794684167e-296,IN_Cck.Neb,Neb
4.76961689984316e-276,2.05612818613608,0.535,0.165,1.5631942427546e-271,IN_Cck.Neb,Nfia
2.58238532989547e-261,2.49162023278357,0.384,0.095,8.46350968019941e-257,IN_Cck.Neb,Maf
1.30506771515042e-202,1.93596248567077,0.688,0.328,4.27722892963399e-198,IN_Cck.Neb,Erbb4
1.98058657864206e-179,3.0454395710606,0.161,0.025,6.49117445284148e-175,IN_Cck.Neb,Prox1os
4.60021043736034e-171,3.15823038132237,0.162,0.026,1.50767296874048e-166,IN_Cck.Neb,Hapln1
3.21618357606504e-152,3.04926044463298,0.258,0.07,1.05407200521956e-147,IN_Cck.Neb,Cck
7.02915673804557e-150,2.33313969464905,0.245,0.063,2.30373582932706e-145,IN_Cck.Neb,Zbtb16
4.2522487939557e-115,2.74394201242788,0.147,0.03,1.39363201973104e-110,IN_Cck.Neb,Igf1
1.47754666646521e-91,2.20601891159122,0.164,0.043,4.84251144467307e-87,IN_Cck.Neb,Mob3b
6.09831673670128e-91,2.10743706871212,0.441,0.221,1.99866232728648e-86,IN_Cck.Neb,Adarb2
7.67614434291218e-87,2.87019480458386,0.125,0.028,2.51577954694604e-82,IN_Cck.Neb,Plekhg1
2.25455082677849e-73,2.11542175073761,0.149,0.042,7.38906487968384e-69,IN_Cck.Neb,St18
3.46884635632434e-73,2.23990381454295,0.122,0.031,1.13687970482174e-68,IN_Cck.Neb,Gpd1
1.5683377678834e-50,2.53365736172048,0.109,0.033,5.14007020046107e-46,IN_Cck.Neb,Pdzrn3
2.16147197089459e-40,2.27152092504546,0.104,0.035,7.08400823740993e-36,IN_Cck.Neb,Mlip
6.01060729987072e-31,1.9821781408719,0.392,0.3,1.96991643645963e-26,IN_Cck.Neb,Cnr1
0,3.69200942128362,0.774,0.093,0,Str_Foxp1.Drd1,Ppp1r1b
0,3.02552356016364,0.746,0.151,0,Str_Foxp1.Drd1,Rxrg
0,4.14324762893413,0.567,0.036,0,Str_Foxp1.Drd1,Drd1
0,3.33792331039334,0.66,0.134,0,Str_Foxp1.Drd1,Tac1
0,3.32014620578397,0.536,0.055,0,Str_Foxp1.Drd1,Nexn
0,3.20328550950929,0.337,0.036,0,Str_Foxp1.Drd1,Arhgdib
0,2.89624084523921,0.326,0.041,0,Str_Foxp1.Drd1,Inf2
0,3.20053997759111,0.299,0.024,0,Str_Foxp1.Drd1,Mhrt
0,3.01869074663048,0.309,0.042,0,Str_Foxp1.Drd1,Oprk1
0,3.21267220412225,0.276,0.028,0,Str_Foxp1.Drd1,5730508B09Rik
0,4.05740930242919,0.245,0.016,0,Str_Foxp1.Drd1,Atp6ap1l
0,3.75073570073986,0.241,0.017,0,Str_Foxp1.Drd1,Ido1
0,3.51936177657088,0.206,0.015,0,Str_Foxp1.Drd1,Slc35d3
3.10344944909797e-265,3.39388201720792,0.222,0.025,1.01712452244737e-260,Str_Foxp1.Drd1,Mgst1
2.33739947065935e-258,2.97617655037079,0.309,0.05,7.66059302513896e-254,Str_Foxp1.Drd1,Adra2c
3.29482493434503e-225,3.67447835815475,0.116,0.008,1.07984592398224e-220,Str_Foxp1.Drd1,Cd4
1.4617386100181e-183,3.09657610621681,0.115,0.009,4.79070212047334e-179,Str_Foxp1.Drd1,Scn4b
5.43668309775213e-180,3.46702615329518,0.101,0.007,1.78181851845728e-175,Str_Foxp1.Drd1,Epor
1.92959958101378e-156,3.30186370402587,0.122,0.013,6.32406966681456e-152,Str_Foxp1.Drd1,Onecut2
4.11497192599623e-118,2.886928729087,0.116,0.015,1.34864089902601e-113,Str_Foxp1.Drd1,Cnn2
0,3.02139840955662,0.932,0.326,0,Str/Ast_Foxp1.Drd2,Foxp1
0,4.05539873997536,0.619,0.055,0,Str/Ast_Foxp1.Drd2,Adora2a
0,3.18735711479723,0.745,0.215,0,Str/Ast_Foxp1.Drd2,Penk
0,2.73308556257574,0.604,0.164,0,Str/Ast_Foxp1.Drd2,Gpr88
0,2.55111748599625,0.503,0.094,0,Str/Ast_Foxp1.Drd2,Ppp1r1b
0,2.76720865371158,0.393,0.067,0,Str/Ast_Foxp1.Drd2,Lhfp
0,2.80113760326939,0.373,0.055,0,Str/Ast_Foxp1.Drd2,Nexn
0,3.09420154243702,0.27,0.034,0,Str/Ast_Foxp1.Drd2,Arhgdib
0,3.84909301477486,0.23,0.018,0,Str/Ast_Foxp1.Drd2,Gpr6
0,3.15786566520672,0.179,0.017,0,Str/Ast_Foxp1.Drd2,Frem2
3.76302260587594e-295,2.62317572487119,0.302,0.058,1.23329302884978e-290,Str/Ast_Foxp1.Drd2,P2ry1
7.91898117323525e-265,2.65371929033438,0.196,0.027,2.59536688971612e-260,Str/Ast_Foxp1.Drd2,5730508B09Rik
3.86717766546329e-243,2.79306793592864,0.218,0.037,1.26742880807894e-238,Str/Ast_Foxp1.Drd2,Nt5e
1.61708061203245e-232,3.52322632637054,0.127,0.013,5.29981999787516e-228,Str/Ast_Foxp1.Drd2,Cnn2
1.21025556194381e-219,2.92190194606995,0.196,0.033,3.96649157871466e-215,Str/Ast_Foxp1.Drd2,Drd2
4.36746921926288e-213,2.69826295800885,0.172,0.026,1.43139436192122e-208,Str/Ast_Foxp1.Drd2,Plxnd1
6.54162470472618e-171,2.7657567480264,0.131,0.019,2.14395208072696e-166,Str/Ast_Foxp1.Drd2,Ido1
1.55490494185171e-136,2.5971245275826,0.107,0.016,5.0960454564248e-132,Str/Ast_Foxp1.Drd2,Fam84b
8.90297195507063e-118,2.6288191613388,0.106,0.018,2.91786002855485e-113,Str/Ast_Foxp1.Drd2,Wfdc18
1.26113747829029e-110,2.83893332326893,0.101,0.017,4.13325197134858e-106,Str/Ast_Foxp1.Drd2,Rxfp1
1.79283101448802e-283,2.12504333699322,0.593,0.18,5.87582436688303e-279,OB/COA_Trh.Tacr3,Pax6
2.34987048777231e-217,1.85712994362748,0.573,0.206,7.70146553662498e-213,OB/COA_Trh.Tacr3,Six3
2.42371875134129e-136,2.23644479000964,0.428,0.165,7.94349583564594e-132,OB/COA_Trh.Tacr3,Ntng1
1.31190818833053e-113,1.9731306123177,0.293,0.092,4.29964789643447e-109,OB/COA_Trh.Tacr3,Cyp26b1
5.0042667102409e-113,1.95145565027675,0.259,0.074,1.64009837161435e-108,OB/COA_Trh.Tacr3,Adora2a
5.61506538420322e-101,1.85396282287393,0.294,0.099,1.84028152901876e-96,OB/COA_Trh.Tacr3,Gucy1a1
1.63464697324543e-95,1.5323048394491,0.557,0.319,5.35739199011456e-91,OB/COA_Trh.Tacr3,Zdbf2
1.18226169325114e-93,2.51690382193746,0.158,0.036,3.87474447346128e-89,OB/COA_Trh.Tacr3,Drd2
1.22237377658921e-89,1.79215609723859,0.259,0.085,4.00620781539348e-85,OB/COA_Trh.Tacr3,Peg10
2.88672866993382e-89,1.62180720575929,0.435,0.207,9.46096454284111e-85,OB/COA_Trh.Tacr3,Pcdh11x
1.00185728373128e-67,2.07433060046567,0.24,0.09,3.2834870617009e-63,OB/COA_Trh.Tacr3,Cdh12
1.49841681473407e-67,1.7585619816899,0.248,0.093,4.91091126860944e-63,OB/COA_Trh.Tacr3,Dach1
7.85032047567098e-67,1.53748976691011,0.251,0.095,2.57286403269641e-62,OB/COA_Trh.Tacr3,Dok5
4.68408869086346e-61,1.57284865796018,0.209,0.074,1.53516322754359e-56,OB/COA_Trh.Tacr3,Glra3
1.62954022009884e-49,1.56493631787585,0.377,0.212,5.34065511735193e-45,OB/COA_Trh.Tacr3,Sst
2.56003516688143e-47,1.63516916638891,0.148,0.05,8.39025925593721e-43,OB/COA_Trh.Tacr3,Cbln4
6.15889876505141e-38,1.74673430219948,0.102,0.031,2.01851748125795e-33,OB/COA_Trh.Tacr3,Fgd2
4.76251730406762e-34,1.64607418895641,0.13,0.049,1.56086742123512e-29,OB/COA_Trh.Tacr3,Sema3e
3.74102071331163e-24,1.55426669906855,0.119,0.051,1.22608212858075e-19,OB/COA_Trh.Tacr3,Pld5
6.02326844340499e-20,1.51770709498407,0.139,0.07,1.97406599964155e-15,OB/COA_Trh.Tacr3,Lgr5
0,3.2298981572405,0.734,0.177,0,OB_Tac1.Th.Igfbp6,Pcp4l1
0,4.65843628431839,0.24,0.015,0,OB_Tac1.Th.Igfbp6,Th
0,3.93687003200772,0.188,0.012,0,OB_Tac1.Th.Igfbp6,Cpa6
